asin,body,brand,date
B005WJJKE6,Let me say I wasn't expecting much but this little phone surprised me. I read reviews about bad voice quality but haven't seemed to have that problem at all. Much nicer than the LG Contour (Craptour) in my opinion. I also had to laugh when I walked into a Metro PCS store to see that they were charging $69 for this $39 phone on Amazon.,HUAWEI,"August 16, 2021"
B005WJJKE6,Unit No Longer supported. According to Metro/Tmobile NO ONE in North America currently supports this phone.,HUAWEI,"August 16, 2021"
B005WJJKE6,I BROUGHT THIS PHONE FOR MY DAUGHTER A YEAR AGO AND SHE LOVED IT SO MUCH THAT WHEN THE ORIGINAL ONE WAS RAN OVER BY A CAR SHE WAITED 3 MONTHS FOR ME TO FIND HER A NEW ONE. THIS PHONE IS VERY INEXPENSIVE AND DOES EVERY SINGLE THING MY EXPENSIVE PHONE CAN DO.,HUAWEI,"August 16, 2021"
B005WJJKE6,BUT IT WONT WORK IN WASHINTON BUT THERE ARE PSC OR PCSSTORES IN WASHINGTN LYNWWOD 98036 ZIP CODES 98021,HUAWEI,"August 16, 2021"
B005WJJKE6,"Its much better then the one I have purchase from Metro PCS. Like this phone better. Haven't update it yet, but will soon be on it.",HUAWEI,"August 16, 2021"
B005WJJKE6,"I love this phone :D It's an incredible price for such a beautiful phone. Works smoothly and does it's job and looks good while doing it(: lol you can get an MP3 player for the price of this phone and it doubles as one, that's just one way this phone is an incredible value :D I'm really happy with my purchase.",HUAWEI,"August 16, 2021"
B005WJJKE6,"When I received the phone, I was unable to hook it up. I called customer service and it still wasn't able to be hooked up. I gave up after that. It was a waist of money.",HUAWEI,"August 16, 2021"
B005WJJKE6,I didn't want to spend alot on a phone and needed just a basic one.This fits all my needs for what I use a phone for.I would recommend this phone highly.,HUAWEI,"August 16, 2021"
B005WJJKE6,my mom really loves the phone. She loves it for the texting purpose as well because she is a newbie to the texting world. Great Price !,HUAWEI,"August 16, 2021"
B005WJJKE6,"I'm not longer have this phone,but I got it for a great price.",HUAWEI,"August 16, 2021"
